language,Primary Focus Keyword, Secondary Focus Keyword
de,Fußmassage, Ao Nang
en,Foot Massage, Ao Nang
ja,フットマッサージ, アオナン
ko,발마사지, 아오낭
ru,Массаж стоп, Ао Нанг
th,นวดเท้า, อ่าวนาง
zh,足部按摩, 奥南
