language,Primary Focus Keyword, Secondary Focus Keyword
de,Fußmassage, Asok
en,Foot Massage, Asoke
ja,フットマッサージ, アソーク
ko,풋 마사지, 아속
ru,Массаж стоп, Асок
th,นวดเท้า อโศก
zh,足部按摩，阿索克
